dataset	family	model_key	triplet_score	dataset_rank_int	layer_name	layer_index	family_rank
kadid10k	MAE	vit_mae_base	0.7748404740200547	51	hidden_state_012	12	1
kadid10k	MAE	vit_mae_large	0.7151321786690976	60	hidden_state_023	23	2
kadid10k	MAE	vit_mae_huge	0.6923427529626254	63	hidden_state_027	27	3
kadid10k	ResNeXt	resnext50_32x4d	0.9029170464904285	34	feature_map_004	4	1
kadid10k	ResNeXt	resnext101_32x8d	0.890154968094804	36	feature_map_004	4	2
kadid10k	ResNet	resnet34	0.9266180492251596	23	hidden_state_004	4	1
kadid10k	ResNet	resnet50	0.9079307201458524	31	hidden_state_004	4	2
kadid10k	ResNet	resnet18	0.8814949863263446	40	hidden_state_004	4	3
kadid10k	ResNet	resnet101	0.8208751139471285	46	hidden_state_004	4	4
kadid10k	ResNet	resnet152	0.7989972652689152	48	hidden_state_004	4	5
kadid10k	SigLIP	siglip_so400m	0.9822242479489516	5	hidden_state_027	27	1
kadid10k	SigLIP	siglip_base	0.959890610756609	13	hidden_state_012	12	2
kadid10k	SigLIP	siglip_large	0.9320875113947129	19	hidden_state_024	24	3
kadid10k	SigLIP2	siglip2_so400m_naflex	0.9990884229717412	1	hidden_state_000	0	1
kadid10k	SigLIP2	siglip2_base_naflex	0.9767547857793983	8	pooler_output	1	2
kadid10k	SigLIP2	siglip2_base	0.9325432999088423	18	pooler_output	1	3
kadid10k	SigLIP2	siglip2_large	0.92616226071103	24	pooler_output	1	4
kadid10k	SigLIP2	siglip2_so400m	0.9243391066545124	26	hidden_state_000	0	5
kadid10k	Swin	swin_tiny	0.8026435733819508	47	hidden_state_004	4	1
kadid10k	Swin	swin_base	0.6394712853236099	68	canonical_embedding	5	2
kadid10k	Swin	swin_large	0.5920692798541477	71	canonical_embedding	5	3
kadid10k	Swin	swin_small	0.5464904284412033	73	hidden_state_004	4	4
kadid10k	SwinV2	swinv2_tiny	0.6859617137648131	66	hidden_state_004	4	1
kadid10k	SwinV2	swinv2_base	0.6289881494986326	69	hidden_state_004	4	2
kadid10k	SwinV2	swinv2_small	0.6130355515041022	70	hidden_state_004	4	3
kadid10k	SwinV2	swinv2_large	0.49088422971741114	74	hidden_state_004	4	4
kadid10k	VGG	vgg19	0.9721969006381039	9	feature_map_004	4	1
kadid10k	VGG	vgg16	0.9653600729261622	11	feature_map_005	5	2
kadid10k	VGG	vgg13	0.9334548769371012	17	feature_map_005	5	3
kadid10k	VGG	vgg11	0.931175934366454	20	feature_map_004	4	4
kadid10k	VGG	vgg19_bn	0.9293527803099362	21	feature_map_004	4	5
kadid10k	VGG	vgg16_bn	0.9234275296262534	27	feature_map_004	4	6
kadid10k	VGG	vgg11_bn	0.9156791248860529	30	feature_map_004	4	7
kadid10k	VGG	vgg13_bn	0.9051959890610757	32	feature_map_004	4	8
kadid10k	ViT	vit_tiny	0.9608021877848678	12	block_010	10	1
kadid10k	ViT	vit_small	0.8919781221513218	35	block_010	10	2
kadid10k	ViT	vit_base	0.7552415679124886	53	hidden_state_012	12	3
kadid10k	ViT	vit_large	0.736098450319052	56	hidden_state_024	24	4
kadid10k	ViT	vit_huge	0.726982680036463	57	hidden_state_032	32	5
