dataset	model_key	family	layer_index	layer_name	triplet_score	slice_count	raw_value_mean	dataset_rank	dataset_rank_int
LIVEC	dinov3_vitb16	DINOv3	10	block_010	0.772105742935278	2	0.5032310869858937	35.0	35
LIVEC	dinov3_vith16plus	DINOv3	27	block_027	0.9945305378304466	2	0.5078562122754329	2.0	2
LIVEC	dinov3_vitl16	DINOv3	23	block_023	0.9626253418413856	2	0.5056210742461962	8.0	8
LIVEC	dinov3_vits16	DINOv3	12	canonical_embedding	0.8226982680036463	2	0.5035725723888157	29.0	29
LIVEC	dinov3_vits16plus	DINOv3	8	block_008	0.9293527803099362	2	0.5044894043275098	15.0	15
LIVEC	fastvit_ma36	FastViT	3	feature_map_003	0.8094804010938925	2	0.5040249559994538	31.0	31
LIVEC	fastvit_s12	FastViT	1	feature_map_001	0.4480401093892434	2	0.5011527979511381	69.0	69
LIVEC	fastvit_sa12	FastViT	2	feature_map_002	0.7456700091157702	2	0.5031205271308627	40.0	40
LIVEC	fastvit_sa24	FastViT	0	feature_map_000	0.7283500455788514	2	0.5029546416595213	44.0	44
LIVEC	fastvit_sa36	FastViT	2	feature_map_002	0.349134001823154	2	0.5005611798142788	71.0	71
LIVEC	fastvit_t12	FastViT	3	feature_map_003	0.4717411121239745	2	0.5013114329621537	67.0	67
LIVEC	fastvit_t8	FastViT	0	feature_map_000	0.6490428441203282	2	0.5025002892771682	57.0	57
LIVEC	fastvithd_05b	FastViTHD	41	block_041	0.9699179580674567	2	0.5060415287376259	6.0	6
LIVEC	fastvithd_15b	FastViTHD	41	block_041	0.9594348222424796	2	0.5053017006225792	10.0	10
LIVEC	fastvithd_7b	FastViTHD	35	block_035	0.9234275296262534	2	0.5044110924547467	17.0	17
LIVEC	ijepa_vith14	I-JEPA	31	hidden_state_031	0.9867821330902462	2	0.5069689275680642	4.0	4
LIVEC	internvit_300m	InternViT	3	hidden_state_003	0.8773928896991796	2	0.5039667340969382	23.0	23
LIVEC	internvit_300m_v25	InternViT	24	hidden_state_024	0.9484958979033729	2	0.5049091329102513	12.0	12
LIVEC	internvit_6b_v25	InternViT	45	hidden_state_045	0.9567000911577028	2	0.5052891441914857	11.0	11
LIVEC	resnet101	ResNet	3	hidden_state_003	0.4425706472196901	2	0.5011008402060784	70.0	70
LIVEC	resnet152	ResNet	3	hidden_state_003	0.4535095715587967	2	0.5011701469131833	68.0	68
LIVEC	resnet18	ResNet	0	hidden_state_000	0.4840474020054695	2	0.5013720626322196	66.0	66
LIVEC	resnet34	ResNet	3	hidden_state_003	0.495897903372835	2	0.5014482616378371	65.0	65
LIVEC	resnet50	ResNet	3	hidden_state_003	0.4990884229717411	2	0.5014826129021885	64.0	64
LIVEC	resnext101_32x8d	ResNeXt	3	feature_map_003	0.8837739288969918	2	0.5040961308351237	22.0	22
LIVEC	resnext50_32x4d	ResNeXt	3	feature_map_003	0.5929808568824065	2	0.502148026430642	59.0	59
LIVEC	siglip2_base	SigLIP2	0	hidden_state_000	0.5141294439380127	2	0.501579417554384	63.0	63
LIVEC	siglip2_base_naflex	SigLIP2	1	pooler_output	0.2629899726526892	2	0.4998947266261109	72.0	72
LIVEC	siglip2_large	SigLIP2	0	hidden_state_000	0.18413855970829535	2	0.4993343810317197	73.0	73
LIVEC	siglip2_so400m	SigLIP2	1	pooler_output	0.113947128532361	2	0.49854835643282136	74.0	74
