model_key	family	layer_index	layer_name	mean_triplet	min_triplet	max_triplet	dataset_count
dinov3_vit7b16	DINOv3	32	block_032	0.6334158093501758	0.07292616226071102	0.8650865998176847	7
dinov3_vit7b16	DINOv3	33	block_033	0.6310066414897773	0.06608933454876936	0.8664539653600729	7
dinov3_vit7b16	DINOv3	34	block_034	0.620002604505795	0.05879671832269828	0.8732907930720146	7
dinov3_vit7b16	DINOv3	35	block_035	0.5739679645787212	0.05469462169553324	0.833637192342753	7
dinov3_vit7b16	DINOv3	36	block_036	0.5145852324521422	0.03281677301732	0.8277119416590701	7
dinov3_vit7b16	DINOv3	37	block_037	0.4822893605938273	0.027803099361896066	0.8268003646308113	7
dinov3_vit7b16	DINOv3	38	block_038	0.49244693319442634	0.032816773017319945	0.829535095715588	7
dinov3_vit7b16	DINOv3	39	block_039	0.5268915223336371	0.041476754785779446	0.7989972652689152	7
dinov3_vit7b16	DINOv3	40	canonical_embedding	0.5969527282198204	0.10164083865086604	0.8910665451230629	7
dinov3_vitb16	DINOv3	0	block_000	0.5294462699791627	0.13081130355515042	0.8126709206927984	8
dinov3_vitb16	DINOv3	1	block_001	0.4506131718984955	0.2629899726526892	0.7962625341841385	8
dinov3_vitb16	DINOv3	2	block_002	0.3975794134655423	0.09070191431175934	0.6620328167730174	8
dinov3_vitb16	DINOv3	3	block_003	0.4624896170683925	0.07383773928896992	0.637701804368471	8
dinov3_vitb16	DINOv3	4	block_004	0.4762536564800315	0.18231540565177762	0.6500474833808167	8
dinov3_vitb16	DINOv3	5	block_005	0.5214172988405744	0.1317228805834093	0.7233363719234275	8
dinov3_vitb16	DINOv3	6	block_006	0.5571950740212667	0.10164083865086604	0.8217866909753874	8
dinov3_vitb16	DINOv3	7	block_007	0.5656862993348865	0.06973564266180493	0.8783044667274384	8
dinov3_vitb16	DINOv3	8	block_008	0.5462498733920794	0.042844120328167756	0.9229717411121239	8
dinov3_vitb16	DINOv3	9	block_009	0.5600131823734072	0.05195989061075662	0.9484958979033729	8
dinov3_vitb16	DINOv3	10	block_010	0.5856681132433184	0.06472196900638105	0.9617137648131266	8
dinov3_vitb16	DINOv3	11	block_011	0.5406621085651016	0.05104831358249773	0.8605287146763901	8
dinov3_vitb16	DINOv3	12	canonical_embedding	0.5615150011989878	0.10209662716499546	0.854147675478578	8
dinov3_vith16plus	DINOv3	0	block_000	0.44714373613264524	0.09115770282588881	0.7356426618049225	8
dinov3_vith16plus	DINOv3	1	block_001	0.4975670177926331	0.13400182315405657	0.8309024612579763	8
dinov3_vith16plus	DINOv3	2	block_002	0.46592255837166197	0.1763901549680948	0.8368277119416591	8
