family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
ResNet	resnet152	scc	0.7509293680297398	0.0848776867894963	46.625	4	2	hidden_state_002	0.7163104089219331	5
SigLIP	siglip_base	scc	0.9371514869888476	0.048166437087633386	16.5	4	12	hidden_state_012	0.8787174721189591	1
SigLIP	siglip_large	scc	0.8722118959107806	0.08519192857935867	33.25	4	12	hidden_state_012	0.7910083643122676	2
SigLIP	siglip_so400m	scc	0.8528113382899628	0.18648464127074743	28.375	4	29	image_embeds_l2	0.8504879182156133	3
SigLIP2	siglip2_base_naflex	scc	0.8768587360594795	0.07235131603765549	29.625	4	2	image_embeds_l2	0.8725604089219331	1
SigLIP2	siglip2_so400m_naflex	scc	0.8101765799256506	0.20010420825637432	34.0	4	1	pooler_output	0.7863615241635687	2
SigLIP2	siglip2_base	scc	0.804368029739777	0.17253079818252492	38.75	4	2	image_embeds_l2	0.8015799256505576	3
SigLIP2	siglip2_large	scc	0.6861059479553904	0.09961296082289295	54.625	4	2	image_embeds_l2	0.6828531598513011	4
SigLIP2	siglip2_so400m	scc	0.5465845724907064	0.09180736515543185	63.5	4	2	image_embeds_l2	0.5441449814126395	5
Swin	swin_tiny	scc	0.6697258364312267	0.05043521011956696	56.0	4	3	hidden_state_003	0.6543912639405205	1
Swin	swin_small	scc	0.5256737918215614	0.052623669516473584	64.0	4	3	hidden_state_003	0.4746747211895911	2
Swin	swin_large	scc	0.45771375464684017	0.08935657330739274	68.0	4	3	hidden_state_003	0.43819702602230487	3
Swin	swin_base	scc	0.4565520446096654	0.052722184972718696	68.25	4	5	canonical_embedding	0.39045074349442377	4
SwinV2	swinv2_tiny	scc	0.5571561338289963	0.05993883437217154	64.0	4	3	hidden_state_003	0.5571561338289963	1
SwinV2	swinv2_small	scc	0.4284386617100372	0.0681582317940895	69.75	4	3	hidden_state_003	0.41473048327137546	2
SwinV2	swinv2_base	scc	0.40485594795539037	0.04465849707876592	70.75	4	2	hidden_state_002	0.358271375464684	3
SwinV2	swinv2_large	scc	0.3607109665427509	0.06488990324989312	73.0	4	5	canonical_embedding	0.3195864312267658	4
VGG	vgg11	scc	0.9527184014869888	0.06600915759066606	9.25	4	5	feature_map_005	0.9527184014869888	1
VGG	vgg16	scc	0.9441217472118959	0.09303513327434886	8.875	4	5	feature_map_005	0.9405204460966543	2
VGG	vgg11_bn	scc	0.9398234200743494	0.07649699612022123	12.25	4	5	feature_map_005	0.9398234200743494	3
VGG	vgg19	scc	0.9372676579925651	0.10383322460467943	10.875	4	5	feature_map_005	0.9357574349442379	4
VGG	vgg19_bn	scc	0.9371514869888475	0.08111124037230882	13.375	4	5	feature_map_005	0.9371514869888475	5
VGG	vgg13	scc	0.9257667286245352	0.11277057474720019	14.5	4	5	feature_map_005	0.9257667286245352	6
VGG	vgg16_bn	scc	0.9160083643122676	0.10931407499996108	19.0	4	5	feature_map_005	0.9160083643122676	7
VGG	vgg13_bn	scc	0.9083410780669146	0.12390709072799291	20.125	4	5	feature_map_005	0.9083410780669146	8
ViT	vit_tiny	scc	0.9630576208178439	0.012799914982192705	16.0	4	11	block_011	0.9302973977695167	1
ViT	vit_small	scc	0.8737221189591078	0.06238750655466988	31.625	4	11	block_011	0.8011152416356877	2
ViT	vit_huge	scc	0.8443308550185873	0.1359000159952442	33.0	4	30	hidden_state_030	0.8174953531598512	3
ViT	vit_base	scc	0.8059944237918215	0.08773456941048088	40.0	4	13	canonical_embedding	0.7540659851301115	4
ViT	vit_large	scc	0.7849674721189591	0.12481908064735646	42.75	4	22	hidden_state_022	0.7753252788104089	5
