alignment_rank	model_key	family	global_alignment_score	alignment_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_alignment	layer_dataset_count	coverage_frac	headline_eligible	matched_layer_index	matched_layer_name	selected_flops	profile_input_height	profile_input_width	profile_layer_index	profile_layer_name	flops_join_mode	full_flops	profiled_layer_count	selected_to_full_ratio	flops_saved_ratio	selected_flops_g	full_flops_g	layer_name_match
57	dino_vitb16	DINO	0.6504428887835144	0.1301739606178265	51.75	8	5	hidden_state_005	0.614427163145268	8	1.0	True	5.0	hidden_state_005	14770756608.0	224.0	224.0	5.0	hidden_state_005	index	35126120448.0	14.0	0.42050634740225096	0.579493652597749	14.770756608	35.126120448	True
58	fastvit_t12	FastViT	0.6394843329956474	0.06252422893002378	52.625	8	0	feature_map_000	0.6079970117191663	8	1.0	True	0.0	feature_map_000	566231040.0	256.0	256.0	0.0	feature_map_000	index	2791833600.0	4.0	0.2028169014084507	0.7971830985915493	0.56623104	2.7918336	True
59	swin_tiny	Swin	0.63219117378079	0.07344842634369284	51.25	8	2	hidden_state_002	0.6300904147968991	8	1.0	True	2.0	hidden_state_002	3211665408.0	224.0	224.0	2.0	hidden_state_002	index	8979597312.0	6.0	0.3576625205350857	0.6423374794649144	3.211665408	8.979597312	True
60	swinv2_large	SwinV2	0.6250776277174076	0.0774625160603707	57.375	8	3	hidden_state_003	0.5521906027134316	8	1.0	True	3.0	hidden_state_003	88156405760.0	256.0	256.0	3.0	hidden_state_003	index	95477534720.0	6.0	0.9233209258966506	0.0766790741033494	88.15640576	95.47753472	True
61	convnext_tiny	ConvNeXt	0.6195157939560654	0.09933518732787326	50.875	8	1	hidden_state_001	0.6195157939560654	8	1.0	True	1.0	hidden_state_001	1504677888.0	224.0	224.0	1.0	hidden_state_001	index	8909526528.0	6.0	0.1688841582401987	0.8311158417598012	1.504677888	8.909526528	True
62	swin_base	Swin	0.6191163039928319	0.06369093146669663	55.75	8	2	hidden_state_002	0.5725616818358288	8	1.0	True	2.0	hidden_state_002	5618106368.0	224.0	224.0	2.0	hidden_state_002	index	30859845632.0	6.0	0.18205231597705485	0.8179476840229452	5.618106368	30.859845632	True
63	swinv2_base	SwinV2	0.6063143567620249	0.06613412215029559	56.375	8	2	hidden_state_002	0.6063143567620249	8	1.0	True	2.0	hidden_state_002	7439679488.0	256.0	256.0	2.0	hidden_state_002	index	40648220672.0	6.0	0.1830259569793353	0.8169740430206647	7.439679488	40.648220672	True
64	swin_large	Swin	0.5900156115997207	0.07973731528138486	59.25	8	2	hidden_state_002	0.5562074055153231	8	1.0	True	2.0	hidden_state_002	12434817024.0	224.0	224.0	2.0	hidden_state_002	index	68948447232.0	6.0	0.18034948607557352	0.8196505139244264	12.434817024	68.948447232	True
65	swin_small	Swin	0.5872212928148486	0.0873911084214445	59.5	8	2	hidden_state_002	0.5797784541303849	8	1.0	True	2.0	hidden_state_002	3211665408.0	224.0	224.0	2.0	hidden_state_002	index	17480214528.0	6.0	0.18373146409934038	0.8162685359006596	3.211665408	17.480214528	True
66	swinv2_small	SwinV2	0.5864267794146337	0.08127000112278336	59.25	8	2	hidden_state_002	0.5864267794146337	8	1.0	True	2.0	hidden_state_002	4271597568.0	256.0	256.0	2.0	hidden_state_002	index	23090178048.0	6.0	0.18499630271885203	0.815003697281148	4.271597568	23.090178048	True
67	fastvit_sa36	FastViT	0.582485743698224	0.08797667331985304	58.75	8	0	feature_map_000	0.5262589778989675	8	1.0	True	0.0	feature_map_000	1897922560.0	256.0	256.0	0.0	feature_map_000	index	11188371456.0	4.0	0.16963349558636606	0.8303665044136339	1.89792256	11.188371456	True
68	fastvit_t8	FastViT	0.5743754864920895	0.08012814195682291	60.125	8	1	feature_map_001	0.5685959790571452	8	1.0	True	1.0	feature_map_001	622854144.0	256.0	256.0	1.0	feature_map_001	index	1377632256.0	4.0	0.4521193092621664	0.5478806907378335	0.622854144	1.377632256	True
69	convnext_large	ConvNeXt	0.5463792680570262	0.10381104343415398	63.5	8	1	hidden_state_001	0.5349744600225879	8	1.0	True	1.0	hidden_state_001	5783887872.0	224.0	224.0	1.0	hidden_state_001	index	68719795200.0	6.0	0.0841662559553146	0.9158337440446854	5.783887872	68.7197952	True
70	siglip2_base	SigLIP2	0.3737741951446668	0.30154058713509124	60.0	8	1	pooler_output	0.37233173851517487	8	1.0	True	1.0	pooler_output	35416584192.0	224.0	224.0	1.0	pooler_output	index	35891404800.0	3.0	0.986770631836623	0.013229368163377053	35.416584192	35.8914048	True
71	siglip2_large	SigLIP2	0.36679395899771533	0.20432696447557852	68.25	8	1	pooler_output	0.36202719347306433	8	1.0	True	1.0	pooler_output	383852478464.0	384.0	384.0	1.0	pooler_output	index	386291728384.0	3.0	0.9936854720389581	0.006314527961041927	383.852478464	386.291728384	True
72	siglip2_base_naflex	SigLIP2	0.35436077921111725	0.27193183614599054	65.625	8	1	pooler_output	0.3529570462495311	8	1.0	True	1.0	pooler_output	46821015552.0			1.0	pooler_output	index	47437578240.0	3.0	0.9870026525198939	0.012997347480106058	46.821015552	47.43757824	True
73	siglip2_so400m	SigLIP2	0.3166645691359723	0.1524859011872345	72.875	8	1	pooler_output	0.3134021001149066	8	1.0	True	1.0	pooler_output	670346449920.0	384.0	384.0	1.0	pooler_output	index	674244785664.0	3.0	0.9942182189215436	0.005781781078456394	670.34644992	674.244785664	True
74	dinov3_vit7b16	DINOv3	0.6799325925345892	0.08316648035116994	45.285714285714285	7	10	block_010	0.6670979036774608	7	0.875	False								missing							False
75	siglip2_so400m_naflex	SigLIP2	0.37893882228879655	0.2385633395599495	68.28571428571429	7	1	pooler_output	0.3769251915576937	7	0.875	False	1.0	pooler_output	220460064768.0			1.0	pooler_output	index	221845340160.0	3.0	0.9937556705450702	0.006244329454929809	220.460064768	221.84534016	True
